Delfinario,Programa,Mes,Presupuesto,ppto2017
Acuario,Avanzado,01/01/2016,243,255
Acuario,Avanzado,01/02/2016,484,508
Acuario,Avanzado,01/03/2016,211,222
Acuario,Avanzado,01/04/2016,198,208
Acuario,Avanzado,01/05/2016,147,154
Acuario,Avanzado,01/06/2016,203,213
Acuario,Avanzado,01/07/2016,450,473
Acuario,Avanzado,01/08/2016,216,227
Acuario,Avanzado,01/09/2016,73,77
Acuario,Avanzado,01/10/2016,111,117
Acuario,Avanzado,01/11/2016,101,106
Acuario,Avanzado,01/12/2016,159,167
Riviera Maya,Couples,01/01/2016,359,377
Riviera Maya,Couples,01/02/2016,223,234
Riviera Maya,Couples,01/03/2016,256,269
Riviera Maya,Couples,01/04/2016,221,232
Riviera Maya,Couples,01/05/2016,344,361
Riviera Maya,Couples,01/06/2016,347,364
Riviera Maya,Couples,01/07/2016,311,327
Riviera Maya,Couples,01/08/2016,315,331
Riviera Maya,Couples,01/09/2016,306,321
Riviera Maya,Couples,01/10/2016,224,235
Riviera Maya,Couples,01/11/2016,304,319
Riviera Maya,Couples,01/12/2016,227,238
Puerto Morelos,Couples,01/01/2016,14,15
Puerto Morelos,Couples,01/02/2016,32,34
Puerto Morelos,Couples,01/03/2016,157,165
Puerto Morelos,Couples,01/04/2016,152,160
Puerto Morelos,Couples,01/05/2016,85,89
Puerto Morelos,Couples,01/06/2016,143,150
Puerto Morelos,Couples,01/07/2016,168,176
Puerto Morelos,Couples,01/08/2016,151,159
Puerto Morelos,Couples,01/09/2016,61,64
Puerto Morelos,Couples,01/10/2016,65,68
Puerto Morelos,Couples,01/11/2016,95,100
Puerto Morelos,Couples,01/12/2016,149,156
Acuario,Couples,01/01/2016,132,139
Acuario,Couples,01/02/2016,141,148
Acuario,Couples,01/03/2016,111,117
Acuario,Couples,01/04/2016,116,122
Acuario,Couples,01/05/2016,140,147
Acuario,Couples,01/06/2016,85,89
Acuario,Couples,01/07/2016,57,60
Acuario,Couples,01/08/2016,100,105
Acuario,Couples,01/09/2016,83,87
Acuario,Couples,01/10/2016,87,91
Acuario,Couples,01/11/2016,111,117
